Datetime,rf-a,rf-a-sum,wl-ch-a,wl-a,rf-c,rf-c-sum,wl-ch-c,wl-c
1/3/2024 9:20,0,0,0,190.948,0,0,0.001,2.465
1/3/2024 9:30,0,0,0.001,190.949,0,0,-0.002,2.463
1/3/2024 9:40,0,0,-0.001,190.948,0,0,0,2.463
1/3/2024 9:50,0,0,0.001,190.949,0,0,0.002,2.465
1/3/2024 10:00,0,0,0,190.949,0,0,-0.001,2.464
1/3/2024 10:10,0,0,0.001,190.95,0,0,-0.003,2.461
1/3/2024 10:20,0,0,0.001,190.951,0,0,0.001,2.462
1/3/2024 10:30,0,0,-0.001,190.95,0,0,0.001,2.463
1/3/2024 10:40,0,0,0.001,190.951,0,0,-0.002,2.461
1/3/2024 10:50,0,0,-0.005,190.946,0,0,-0.001,2.46
1/3/2024 11:00,0,0,0.005,190.951,0,0,0.001,2.461
1/3/2024 11:10,0,0,-0.002,190.949,0,0,-0.001,2.46
1/3/2024 11:20,0,0,0.002,190.951,0,0,-0.001,2.459
1/3/2024 11:30,0,0,-0.002,190.949,0,0,0.001,2.46
1/3/2024 11:40,0,0,-0.001,190.948,0,0,0,2.46
1/3/2024 11:50,0,0,0,190.948,0,0,0,2.46
1/3/2024 12:00,0,0,0,190.948,0,0,0,2.46
1/3/2024 12:10,0,0,0.004,190.952,0,0,0,2.46
1/3/2024 12:20,0,0,-0.001,190.951,0,0,0.001,2.461
1/3/2024 12:30,0,0,-0.002,190.949,0,0,0,2.461
1/3/2024 12:40,0,0,-0.002,190.947,0,0,0,2.461
1/3/2024 12:50,0,0,0.002,190.949,0,0,0.002,2.463
1/3/2024 13:00,0,0,-0.002,190.947,0,0,-0.002,2.461
1/3/2024 13:10,0,0,0.002,190.949,0,0,0,2.461
1/3/2024 13:20,0,0,-0.003,190.946,0,0,0.002,2.463
1/3/2024 13:30,0,0,0.003,190.949,0,0,-0.002,2.461
1/3/2024 13:40,0,0,-0.002,190.947,0,0,0,2.461
1/3/2024 13:50,0,0,0.001,190.948,0,0,0,2.461
1/3/2024 14:00,0,0,-0.001,190.947,0,0,0,2.461
1/3/2024 14:10,0,0,0,190.947,0,0,-0.001,2.46
1/3/2024 14:20,0,0,-0.002,190.945,0,0,0,2.46
1/3/2024 14:30,0,0,0,190.945,0,0,0,2.46
1/3/2024 14:40,0,0,0.003,190.948,0,0,0,2.46
1/3/2024 14:50,0,0,0.003,190.951,0,0,0,2.46
1/3/2024 15:00,0,0,-0.003,190.948,0,0,0,2.46
1/3/2024 15:10,0,0,-0.002,190.946,0,0,0,2.46
1/3/2024 15:20,0,0,0.002,190.948,0,0,0,2.46
1/3/2024 15:30,0,0,-0.001,190.947,0,0,0,2.46
1/3/2024 15:40,0,0,0.001,190.948,0,0,0,2.46
1/3/2024 15:50,0,0,0,190.948,0,0,0.001,2.461
1/3/2024 16:00,0,0,-0.003,190.945,0,0,0.002,2.463
1/3/2024 16:10,0,0,0.002,190.947,0,0,0.002,2.465
1/3/2024 16:20,0,0,0,190.947,0,0,0,2.465
1/3/2024 16:30,0,0,0,190.947,0,0,-0.002,2.463
1/3/2024 16:40,0,0,-0.001,190.946,0,0,-0.002,2.461
1/3/2024 16:50,0,0,0.002,190.948,0,0,0.002,2.463
1/3/2024 17:00,0,0,-0.003,190.945,0,0,-0.002,2.461
1/3/2024 17:10,0,0,0,190.945,0,0,0,2.461
1/3/2024 17:20,0,0,0.002,190.947,0,0,0.005,2.466
1/3/2024 17:30,0,0,-0.001,190.946,0,0,-0.001,2.465
1/3/2024 17:40,0,0,-0.001,190.945,0,0,-0.001,2.464
1/3/2024 17:50,0,0,0,190.945,0,0,-0.004,2.46
1/3/2024 18:00,0,0,0.001,190.946,0,0,0.003,2.463
1/3/2024 18:10,0,0,0.001,190.947,0,0,-0.004,2.459
1/3/2024 18:20,0,0,-0.005,190.942,0,0,0.001,2.46
1/3/2024 18:30,0,0,0.006,190.948,0,0,-0.001,2.459
1/3/2024 18:40,0,0,-0.004,190.944,0,0,0.004,2.463
